epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.469,0.91689,1.72718,1.26901,0.48044,0.56922,0.46667,0.32358,0.89225,1.70036,1.24438,0.000661333,0.000661333,0.000661333
2,416.837,0.90385,1.26123,1.23876,0.6117,0.66029,0.62026,0.45486,0.86556,1.26784,1.17794,0.00128418,0.00128418,0.00128418
3,621.744,0.88927,1.22123,1.23707,0.62178,0.65938,0.6681,0.49808,0.84246,1.41031,1.24629,0.00186302,0.00186302,0.00186302
4,819.389,0.87272,1.16259,1.22319,0.64572,0.70881,0.70226,0.54891,0.77857,1.12634,1.18077,0.001802,0.001802,0.001802
5,1030,0.83252,1.12466,1.20015,0.65744,0.72131,0.71027,0.56784,0.72454,1.13533,1.13923,0.001736,0.001736,0.001736
6,1234.16,0.81013,1.10207,1.20203,0.67777,0.6867,0.7168,0.58756,0.68291,1.04439,1.09698,0.00167,0.00167,0.00167
7,1432.76,0.78864,1.0547,1.17633,0.6911,0.70219,0.74524,0.61239,0.66883,1.01395,1.10864,0.001604,0.001604,0.001604
8,1631.75,0.76231,1.03412,1.17151,0.68985,0.75357,0.77798,0.63754,0.66643,0.97298,1.09346,0.001538,0.001538,0.001538
9,1830.16,0.75037,1.01042,1.16552,0.68967,0.74081,0.77091,0.65394,0.60039,0.93574,1.08871,0.001472,0.001472,0.001472
10,2028.55,0.71918,0.97187,1.14437,0.72502,0.7372,0.78565,0.6583,0.61344,0.91246,1.10436,0.001406,0.001406,0.001406
11,2228.39,0.71313,0.94932,1.14038,0.70101,0.76958,0.79623,0.67901,0.57816,0.88687,1.04893,0.00134,0.00134,0.00134
12,2439.6,0.70112,0.95209,1.11636,0.7064,0.78008,0.79026,0.68436,0.55908,0.86607,1.04364,0.001274,0.001274,0.001274
13,2638.12,0.69549,0.94395,1.12692,0.71068,0.75616,0.81265,0.70802,0.54779,0.83047,1.03241,0.001208,0.001208,0.001208
14,2837.19,0.69187,0.93547,1.12484,0.72173,0.78185,0.81601,0.7159,0.51962,0.80846,1.01824,0.001142,0.001142,0.001142
15,3035.37,0.66153,0.90185,1.11368,0.74025,0.75271,0.8102,0.70342,0.52881,0.80374,1.03318,0.001076,0.001076,0.001076
16,3232.56,0.65409,0.89794,1.11477,0.75282,0.78777,0.81457,0.70717,0.50258,0.77616,0.98805,0.00101,0.00101,0.00101
17,3430.55,0.64707,0.87763,1.10325,0.76225,0.79508,0.83762,0.74151,0.49272,0.74482,0.99161,0.000944,0.000944,0.000944
18,3627.79,0.63605,0.85735,1.09502,0.74003,0.80055,0.84037,0.74629,0.48249,0.74304,0.99873,0.000878,0.000878,0.000878
19,3824.78,0.61918,0.8449,1.08366,0.76962,0.73953,0.82133,0.73351,0.48379,0.7662,0.98784,0.000812,0.000812,0.000812
20,4022.08,0.62142,0.84156,1.08925,0.75489,0.7878,0.84433,0.76165,0.46171,0.71789,0.98317,0.000746,0.000746,0.000746
21,4214.87,0.5098,0.7901,1.02195,0.80354,0.75245,0.85583,0.76866,0.45277,0.73857,0.96322,0.00068,0.00068,0.00068
22,4408.25,0.48913,0.73976,1.00783,0.78553,0.74388,0.83737,0.75357,0.45543,0.72783,0.9668,0.000614,0.000614,0.000614
23,4602.27,0.47661,0.726,1.00063,0.79757,0.77413,0.85846,0.76478,0.45991,0.70626,0.98352,0.000548,0.000548,0.000548
24,4796.49,0.46573,0.6883,0.99916,0.80908,0.76138,0.85438,0.77007,0.44691,0.70294,0.969,0.000482,0.000482,0.000482
25,4990.29,0.45968,0.68032,0.98937,0.75587,0.798,0.85245,0.77366,0.44072,0.69515,0.96668,0.000416,0.000416,0.000416
26,5184.21,0.44466,0.65949,0.98326,0.74719,0.82149,0.86356,0.78727,0.4201,0.67916,0.95524,0.00035,0.00035,0.00035
27,5378.02,0.42992,0.65703,0.9769,0.79242,0.79235,0.86709,0.79245,0.41011,0.64871,0.9426,0.000284,0.000284,0.000284
28,6015.25,0.42438,0.63669,0.9695,0.77098,0.81967,0.86362,0.79415,0.40443,0.65379,0.93857,0.000218,0.000218,0.000218
29,6233.84,0.40912,0.62626,0.96553,0.7811,0.80055,0.86485,0.79899,0.39305,0.64871,0.9287,0.000152,0.000152,0.000152
30,6451.93,0.40811,0.61457,0.9643,0.79325,0.7932,0.8725,0.80375,0.39079,0.63488,0.92962,8.6e-05,8.6e-05,8.6e-05
